<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
14/03/19,000000,3792.0000000,3834.0000000,3735.0000000,3750.0000000,225660
15/03/19,000000,3758.5000000,3777.5000000,3703.5000000,3776.5000000,330371
18/03/19,000000,3780.0000000,3824.5000000,3740.0000000,3788.0000000,185905
19/03/19,000000,3799.0000000,3847.5000000,3771.0000000,3792.0000000,246013
20/03/19,000000,3792.0000000,3797.0000000,3730.0000000,3761.0000000,211975
21/03/19,000000,3765.0000000,3793.5000000,3718.5000000,3730.0000000,238361
22/03/19,000000,3739.0000000,3752.0000000,3672.5000000,3688.0000000,223293
25/03/19,000000,3678.5000000,3734.0000000,3673.5000000,3715.5000000,275441
26/03/19,000000,3719.0000000,3806.0000000,3711.0000000,3760.0000000,401957
27/03/19,000000,3758.0000000,3777.0000000,3698.0000000,3700.0000000,154872
28/03/19,000000,3722.5000000,3723.5000000,3674.0000000,3689.0000000,181321
29/03/19,000000,3691.5000000,3723.0000000,3610.0000000,3640.0000000,431832
01/04/19,000000,3698.0000000,3720.0000000,3671.0000000,3690.5000000,313753
02/04/19,000000,3696.0000000,3708.5000000,3651.5000000,3680.0000000,268293
03/04/19,000000,3691.5000000,3742.0000000,3690.0000000,3715.0000000,223685
04/04/19,000000,3714.0000000,3719.5000000,3655.0000000,3666.0000000,260919
05/04/19,000000,3670.0000000,3674.0000000,3600.0000000,3610.0000000,300892
08/04/19,000000,3617.5000000,3658.5000000,3584.0000000,3652.0000000,302762
09/04/19,000000,3657.0000000,3659.0000000,3603.5000000,3610.0000000,119612
10/04/19,000000,3614.0000000,3625.5000000,3560.5000000,3560.5000000,300558
11/04/19,000000,3576.0000000,3578.0000000,3543.5000000,3548.0000000,170743
12/04/19,000000,3561.5000000,3602.0000000,3547.0000000,3550.5000000,178488
15/04/19,000000,3551.0000000,3566.5000000,3500.0000000,3500.0000000,157437
16/04/19,000000,3511.0000000,3514.0000000,3443.5000000,3496.0000000,319109
17/04/19,000000,3505.0000000,3585.0000000,3504.0000000,3581.0000000,280765
18/04/19,000000,3583.5000000,3600.0000000,3542.0000000,3595.0000000,152468
19/04/19,000000,3595.0000000,3635.0000000,3590.0000000,3597.0000000,97668
22/04/19,000000,3607.5000000,3612.5000000,3565.5000000,3578.5000000,105070
23/04/19,000000,3568.5000000,3679.5000000,3565.0000000,3675.0000000,316674
24/04/19,000000,3668.0000000,3678.0000000,3623.5000000,3639.5000000,181917
25/04/19,000000,3650.5000000,3718.0000000,3641.5000000,3649.5000000,294517
26/04/19,000000,3653.0000000,3670.0000000,3575.5000000,3590.0000000,284847
29/04/19,000000,3564.5000000,3632.5000000,3500.0000000,3630.5000000,247380
30/04/19,000000,3631.5000000,3724.5000000,3545.0000000,3720.0000000,753249
02/05/19,000000,3704.5000000,3774.0000000,3680.5000000,3746.0000000,303256
03/05/19,000000,3750.0000000,3799.0000000,3750.0000000,3795.0000000,197838
06/05/19,000000,3760.0000000,3772.0000000,3711.5000000,3758.5000000,201858
07/05/19,000000,3750.5000000,3864.5000000,3750.5000000,3781.0000000,366735
08/05/19,000000,3781.0000000,3831.0000000,3755.5000000,3815.0000000,232641
10/05/19,000000,3768.0000000,3780.0000000,3696.5000000,3710.0000000,265104
13/05/19,000000,3685.0000000,3752.0000000,3675.0000000,3730.0000000,234001
14/05/19,000000,3730.0000000,3803.5000000,3729.5000000,3795.0000000,354014
15/05/19,000000,3801.0000000,3808.0000000,3728.0000000,3728.5000000,170071
16/05/19,000000,3737.5000000,3740.5000000,3687.0000000,3700.0000000,171953
